,Unnamed: 0,Unnamed: 0.1,City,Lat,Temp,Humidity,Cloudiness,Wind Speed,Max Temp
0,0,0,nemuro,43.32,69.8,77.0,75,8.05,62.6
1,1,1,hamilton,43.26,73.11,100.0,75,3.36,70.0
2,2,2,saskylakh,71.97,48.82,45.0,63,3.13,55.74
3,3,3,jamestown,-33.21,51.52,67.0,19,9.73,56.64
4,4,4,marfino,56.07,57.15,67.0,75,13.42,68.0
5,5,5,port alfred,-33.59,66.0,59.0,63,4.0,66.0
6,6,6,rikitea,-23.12,66.28,85.0,100,22.88,63.84
7,7,7,sinnamary,5.38,80.68,85.0,88,9.31,76.98
8,8,8,port lincoln,-34.72,57.64,78.0,43,10.96,58.98
9,9,9,saint-philippe,45.36,76.78,93.0,1,6.08,71.01
10,10,10,pochutla,15.74,84.56,87.0,99,7.18,78.01
11,11,11,luganville,-15.51,82.4,78.0,75,3.36,80.6
12,12,12,sistranda,63.73,45.61,87.0,75,21.92,46.99
13,13,13,iqaluit,63.75,42.37,86.0,20,6.93,39.2
14,14,14,north bend,43.41,64.29,93.0,75,3.36,59.0
15,15,15,ribeira grande,38.52,69.34,93.0,20,1.12,66.2
16,16,16,rostovka,55.02,60.8,82.0,75,6.71,62.6
17,17,17,albany,42.65,71.51,93.0,90,3.13,69.01
18,18,18,ushuaia,-54.81,30.2,86.0,0,3.36,28.4
19,19,19,port-gentil,-0.72,73.84,94.0,20,8.05,73.4
20,20,20,cape town,-33.93,56.7,87.0,90,9.17,59.0
21,21,21,neder holluf,55.36,51.35,71.0,40,13.87,55.4
22,22,22,severo-kurilsk,50.68,43.42,96.0,100,4.23,43.68
23,23,23,ahtopol,42.1,66.85,57.0,0,4.7,78.8
24,24,24,busselton,-33.64,50.09,39.0,29,26.06,68.0
25,25,25,leningradskiy,69.38,38.02,95.0,99,6.04,37.02
26,26,26,pringsewu,-5.36,72.76,61.0,72,5.95,84.18
29,29,29,vestmannaeyjar,63.44,50.44,100.0,90,14.99,51.8
30,30,30,kununurra,-15.77,78.8,14.0,13,9.17,87.8
31,31,31,hovd,63.83,44.6,75.0,75,16.11,46.99
32,32,32,karratha,-20.74,68.26,18.0,2,16.82,84.18
33,33,33,the valley,18.22,81.81,74.0,20,9.17,81.0
34,34,34,bambous virieux,-20.34,67.24,88.0,75,6.93,71.6
35,35,35,hilo,19.71,79.48,73.0,40,6.42,77.0
36,36,36,bellefontaine,40.36,78.12,88.0,40,9.17,75.2
37,37,37,mataura,-46.19,54.0,80.0,60,5.01,46.0
38,38,38,bredasdorp,-34.53,62.76,87.0,63,6.93,62.01
39,39,39,tiksi,71.64,37.66,86.0,99,10.85,39.72
40,40,40,hobart,-42.88,52.56,62.0,75,1.28,53.6
41,41,41,bluff,-23.58,70.06,42.0,0,13.71,73.2
42,42,42,narsaq,60.91,48.2,81.0,20,4.7,42.8
43,43,43,dikson,73.51,37.48,90.0,100,14.63,39.54
44,44,44,butaritari,3.07,84.46,66.0,2,4.99,85.08
45,45,45,maymyo,22.03,82.4,56.0,75,11.41,93.2
46,46,46,matagami,9.67,72.58,97.0,100,2.55,69.6
47,47,47,flinders,-34.58,56.62,62.0,75,6.93,62.01
48,48,48,hermanus,-34.42,59.04,82.0,80,5.01,62.01
49,49,49,shimoda,34.7,75.31,94.0,75,4.7,78.01
52,52,52,punta arenas,-53.16,33.48,91.0,90,12.75,33.8
53,53,53,codrington,-28.95,63.14,72.0,75,11.41,69.8
54,54,54,longyearbyen,78.22,48.2,75.0,75,17.22,42.8
55,55,55,barrow,-38.31,42.16,72.0,24,13.82,41.16
56,56,56,daru,-9.07,77.08,80.0,91,9.75,76.8
57,57,57,aklavik,68.22,60.8,66.0,20,4.7,55.4
58,58,58,vao,59.1,53.5,87.0,100,11.99,50.88
60,60,60,sabha,27.03,84.64,22.0,0,19.28,83.46
61,61,61,solnechnyy,50.72,70.78,46.0,6,8.21,78.42
63,63,63,puerto ayora,-0.74,72.09,84.0,2,8.5,70.32
64,64,64,tura,64.27,63.94,24.0,24,8.43,72.12
65,65,65,atuona,-9.8,80.32,77.0,10,14.88,80.22
66,66,66,kodiak,39.95,85.75,61.0,40,4.7,80.01
67,67,67,castro,-42.48,42.8,100.0,90,6.93,41.0
68,68,68,mogadishu,2.04,75.28,65.0,40,17.22,82.4
69,69,69,xinyu,27.8,78.7,74.0,100,4.27,87.06
71,71,71,smithers,54.78,82.4,77.0,75,5.82,62.6
72,72,72,lebu,8.96,55.4,82.0,90,4.7,59.0
73,73,73,faanui,-16.48,76.54,75.0,100,32.88,77.7
74,74,74,gavrilovka vtoraya,52.88,55.66,65.0,0,10.65,68.7
75,75,75,alofi,-19.06,75.2,88.0,66,13.87,73.4
77,77,77,assiniboia,49.63,66.64,65.0,28,7.52,54.48
78,78,78,torbay,47.66,54.0,100.0,90,8.05,57.99
79,79,79,espanola,46.27,67.68,83.0,0,4.21,62.01
80,80,80,saint-augustin,45.63,76.77,83.0,5,6.93,71.01
81,81,81,dingle,11.0,81.22,57.0,66,2.42,90.3
82,82,82,kapaa,22.08,81.34,78.0,75,10.29,80.6
83,83,83,igarka,67.47,67.9,45.0,3,11.7,81.84
84,84,84,victoria,5.28,82.18,55.0,75,3.36,93.2
85,85,85,bethel,60.79,60.33,82.0,90,21.92,57.2
86,86,86,teeli,51.01,50.26,55.0,14,6.58,60.06
87,87,87,qaanaaq,77.48,48.1,54.0,0,3.89,42.78
88,88,88,banjar,-7.37,70.96,56.0,29,6.6,85.62
89,89,89,yellowknife,62.45,53.19,93.0,90,5.82,50.0
91,91,91,east london,-33.02,58.9,34.0,0,13.87,64.4
92,92,92,fort myers beach,26.45,85.01,88.0,1,9.71,84.2
93,93,93,tasiilaq,65.61,44.6,70.0,100,15.32,42.06
95,95,95,sergeyevka,53.88,58.18,60.0,14,11.68,69.24
96,96,96,meulaboh,4.14,81.4,70.0,100,4.9,83.28
97,97,97,bonavista,48.65,51.01,80.0,100,1.01,51.01
98,98,98,poum,41.28,62.14,60.0,0,3.36,73.4
99,99,99,srandakan,-7.94,74.38,89.0,35,17.49,76.8
100,100,100,penzance,50.12,55.2,76.0,0,8.05,62.01
102,102,102,khatanga,71.98,53.86,64.0,100,12.39,54.12
103,103,103,arraial do cabo,-22.97,68.0,68.0,99,7.45,73.02
104,104,104,sao joao da barra,-21.64,69.88,81.0,28,4.65,66.36
106,106,106,lagoa,37.14,63.59,77.0,75,4.7,66.0
107,107,107,isangel,-19.55,78.8,78.0,75,2.57,77.0
108,108,108,ponta delgada,37.73,68.0,94.0,75,4.7,68.0
109,109,109,karari,15.79,87.8,35.0,0,4.7,89.6
110,110,110,fairbanks,64.84,68.68,49.0,1,8.05,68.0
111,111,111,sinnai,39.3,73.72,78.0,0,3.36,81.0
112,112,112,grindavik,63.84,52.63,100.0,90,17.22,51.8
113,113,113,caxito,-22.65,68.0,68.0,74,6.58,64.38
114,114,114,itoman,26.12,87.51,79.0,75,11.41,89.6
115,115,115,cotonou,6.37,76.72,92.0,78,4.29,76.26
116,116,116,souillac,45.6,67.55,60.0,0,12.75,70.0
117,117,117,vaini,15.34,69.8,78.0,75,13.87,78.8
118,118,118,husavik,50.56,73.0,64.0,40,7.67,59.0
119,119,119,chuy,-33.69,51.7,62.0,27,18.57,48.0
120,120,120,lata,30.78,39.1,60.0,0,8.23,56.64
121,121,121,deputatskiy,69.3,43.06,68.0,100,10.16,45.84
122,122,122,nome,30.04,77.5,100.0,1,4.7,81.0
123,123,123,caucaia,-3.73,80.24,78.0,75,12.75,78.01
124,124,124,new norfolk,-42.78,52.56,62.0,75,1.28,53.6
125,125,125,zamora,41.51,62.67,72.0,20,1.12,73.99
126,126,126,russell,38.9,77.34,69.0,1,3.36,75.2
127,127,127,vilyuysk,63.75,49.36,44.0,94,15.79,58.08
128,128,128,mahebourg,-20.41,67.28,88.0,75,6.93,71.6
129,129,129,avarua,-21.21,75.2,60.0,36,16.11,71.6
130,130,130,carballo,43.21,61.59,88.0,75,1.12,68.0
131,131,131,cumbitara,1.65,70.6,97.0,34,0.76,68.52
132,132,132,monte alegre,-2.0,74.74,96.0,78,1.97,72.48
134,134,134,chokurdakh,70.62,43.96,74.0,100,9.71,41.52
135,135,135,nador,35.17,68.81,73.0,20,11.41,71.6
136,136,136,thompson,55.74,55.4,87.0,40,6.93,48.2
137,137,137,asmara,15.34,76.9,61.0,99,4.65,78.78
138,138,138,kiruna,67.86,39.2,61.0,22,4.7,50.0
139,139,139,honningsvag,70.98,44.14,100.0,90,10.29,44.6
140,140,140,el tocuyo,9.79,74.56,78.0,0,6.67,67.08
141,141,141,portland,43.66,71.13,77.0,1,3.36,66.0
142,142,142,la colorada,8.02,76.54,94.0,97,3.15,74.64
143,143,143,mount gambier,-37.83,51.8,76.0,90,6.93,55.4
144,144,144,axim,4.87,77.98,89.0,99,6.55,77.7
146,146,146,sudzha,51.19,58.0,75.0,1,11.1,66.72
147,147,147,upernavik,72.79,41.08,80.0,96,7.83,39.72
148,148,148,egvekinot,66.32,59.26,63.0,100,5.1,56.82
149,149,149,tomohon,1.33,82.4,58.0,40,5.82,87.8
150,150,150,hearst,49.69,81.58,63.0,27,6.93,61.5
151,151,151,iberia,-11.41,77.26,80.0,59,3.38,71.4
153,153,153,krasnoarmeysk,56.12,57.54,67.0,75,13.42,68.0
154,154,154,bandarbeyla,9.49,79.06,36.0,71,31.21,88.68
155,155,155,san patricio,-26.98,55.66,89.0,97,7.65,54.3
156,156,156,tiarei,-17.53,80.31,69.0,75,5.82,77.0
157,157,157,merauke,-8.49,76.0,78.0,67,19.89,77.34
158,158,158,ahuimanu,21.44,81.82,83.0,40,5.82,80.6
159,159,159,khash,28.22,69.16,11.0,0,2.04,89.22
160,160,160,tuktoyaktuk,69.44,46.4,93.0,95,8.48,38.64
161,161,161,coleraine,-37.6,49.54,79.0,73,4.7,54.3
162,162,162,srivardhan,18.03,80.14,76.0,100,8.55,83.46
163,163,163,varca,15.22,78.8,94.0,75,11.41,80.6
164,164,164,phek,25.7,76.54,74.0,100,2.33,87.42
165,165,165,sechura,-5.56,65.2,88.0,37,9.46,64.38
166,166,166,key west,47.93,79.84,77.0,20,5.82,69.8
